Index,detectorType,descriptorType,ttcLidar,ttcCamera,Difference
14,FAST,BRIEF,9.59863,11.2431,-1.64451
15,FAST,BRIEF,8.52157,11.8747,-3.35309
16,FAST,BRIEF,9.51552,11.8375,-2.32198
17,FAST,BRIEF,9.61241,7.92013,1.69229
18,FAST,BRIEF,8.45094,11.554,-3.10305
1,FAST,ORB,12.3214,11.0506,1.27083
2,FAST,ORB,12.7144,10.6351,2.07933
3,FAST,ORB,14.2179,13.4008,0.817173
4,FAST,ORB,16.6894,12.7627,3.92668
5,FAST,ORB,15.7465,18.0923,-2.34576
6,FAST,ORB,12.6778,12.9892,-0.311334
7,FAST,ORB,13.1197,12.4642,0.655521
8,FAST,ORB,12.0825,11.3522,0.730305
9,FAST,ORB,13.0241,12.1119,0.912196
10,FAST,ORB,11.1746,13.4169,-2.24225
11,FAST,ORB,12.8086,13.4172,-0.608606
12,FAST,ORB,8.95978,10.4239,-1.46414
13,FAST,ORB,9.96439,12.0462,-2.08178
14,FAST,ORB,9.59863,11.0103,-1.41167
15,FAST,ORB,8.52157,11.3841,-2.86258
16,FAST,ORB,9.51552,11.5936,-2.07805
17,FAST,ORB,9.61241,7.57979,2.03263
18,FAST,ORB,8.45094,10.5845,-2.13361
1,FAST,FREAK,12.3214,12.1862,0.135238
2,FAST,FREAK,12.7144,16.3987,-3.68424
3,FAST,FREAK,14.2179,14.8112,-0.593267
4,FAST,FREAK,16.6894,14.0729,2.61651
5,FAST,FREAK,15.7465,14.4739,1.27269
6,FAST,FREAK,12.6778,12.5628,0.115073
7,FAST,FREAK,13.1197,13.9889,-0.869236
8,FAST,FREAK,12.0825,11.9033,0.179154
9,FAST,FREAK,13.0241,12.8498,0.174312
10,FAST,FREAK,11.1746,13.6864,-2.51178
11,FAST,FREAK,12.8086,13.1746,-0.366021
12,FAST,FREAK,8.95978,11.5139,-2.55407
13,FAST,FREAK,9.96439,11.8251,-1.86066
14,FAST,FREAK,9.59863,11.4149,-1.81624
15,FAST,FREAK,8.52157,11.386,-2.86447
16,FAST,FREAK,9.51552,11.9191,-2.40353
17,FAST,FREAK,9.61241,8.61022,1.00219
18,FAST,FREAK,8.45094,11.5066,-3.05562
1,FAST,SIFT,12.3214,12.8459,-0.524472
2,FAST,SIFT,12.7144,10.7133,2.00117
3,FAST,SIFT,14.2179,13.5153,0.702654
4,FAST,SIFT,16.6894,13.995,2.69442
5,FAST,SIFT,15.7465,26.3629,-10.6164
6,FAST,SIFT,12.6778,12.8903,-0.212446
7,FAST,SIFT,13.1197,13.4674,-0.34772
8,FAST,SIFT,12.0825,13.7045,-1.62202
9,FAST,SIFT,13.0241,12.9798,0.0443188
10,FAST,SIFT,11.1746,14.0994,-2.92477
11,FAST,SIFT,12.8086,15.164,-2.3554
12,FAST,SIFT,8.95978,11.6857,-2.72595
13,FAST,SIFT,9.96439,12.0107,-2.04629
14,FAST,SIFT,9.59863,11.5571,-1.95849
15,FAST,SIFT,8.52157,11.4218,-2.90027
16,FAST,SIFT,9.51552,11.1505,-1.63493
17,FAST,SIFT,9.61241,7.86159,1.75083
18,FAST,SIFT,8.45094,12.0915,-3.64058
1,BRISK,BRISK,12.3214,13.9354,-1.61399
2,BRISK,BRISK,12.7144,14.5453,-1.83081
3,BRISK,BRISK,14.2179,12.1648,2.05312
4,BRISK,BRISK,16.6894,15.5311,1.15827
5,BRISK,BRISK,15.7465,25.9354,-10.1888
6,BRISK,BRISK,12.6778,15.0214,-2.34356
7,BRISK,BRISK,13.1197,18.1356,-5.01588
8,BRISK,BRISK,12.0825,16.9012,-4.81869
9,BRISK,BRISK,13.0241,14.9058,-1.88165
10,BRISK,BRISK,11.1746,14.3012,-3.12651
11,BRISK,BRISK,12.8086,13.0458,-0.237224
12,BRISK,BRISK,8.95978,11.6197,-2.65993
13,BRISK,BRISK,9.96439,12.7156,-2.7512
14,BRISK,BRISK,9.59863,11.3689,-1.77032
15,BRISK,BRISK,8.52157,12.1932,-3.6716
16,BRISK,BRISK,9.51552,10.3623,-0.846814
17,BRISK,BRISK,9.61241,9.4183,0.194118
18,BRISK,BRISK,8.45094,10.5758,-2.12487
1,BRISK,BRIEF,12.3214,13.7112,-1.38981
2,BRISK,BRIEF,12.7144,18.0906,-5.37612
3,BRISK,BRIEF,14.2179,12.4078,1.81014
4,BRISK,BRIEF,16.6894,21.8203,-5.13092
5,BRISK,BRIEF,15.7465,26.0032,-10.2566
6,BRISK,BRIEF,12.6778,19.1942,-6.51632
7,BRISK,BRIEF,13.1197,17.9007,-4.78096
8,BRISK,BRIEF,12.0825,18.3884,-6.30586
9,BRISK,BRIEF,13.0241,14.9571,-1.93301
10,BRISK,BRIEF,11.1746,12.0464,-0.871728
11,BRISK,BRIEF,12.8086,11.5291,1.27946
12,BRISK,BRIEF,8.95978,14.1488,-5.18901
13,BRISK,BRIEF,9.96439,12.8901,-2.92571
14,BRISK,BRIEF,9.59863,10.3176,-0.718982
15,BRISK,BRIEF,8.52157,11.1009,-2.57933
16,BRISK,BRIEF,9.51552,13.0401,-3.52453
17,BRISK,BRIEF,9.61241,11.1959,-1.58351
18,BRISK,BRIEF,8.45094,9.5707,-1.11976
1,BRISK,ORB,12.3214,14.062,-1.74052
2,BRISK,ORB,12.7144,14.8464,-2.13194
3,BRISK,ORB,14.2179,13.455,0.762992
4,BRISK,ORB,16.6894,19.9039,-3.21455
5,BRISK,ORB,15.7465,20.577,-4.83042
6,BRISK,ORB,12.6778,16.3134,-3.63556
7,BRISK,ORB,13.1197,19.5354,-6.41565
8,BRISK,ORB,12.0825,15.2741,-3.19159
9,BRISK,ORB,13.0241,12.1967,0.827421
10,BRISK,ORB,11.1746,12.2395,-1.06484
11,BRISK,ORB,12.8086,12.8449,-0.0362991
12,BRISK,ORB,8.95978,11.1215,-2.16172
13,BRISK,ORB,9.96439,11.64,-1.67559
14,BRISK,ORB,9.59863,10.7668,-1.1682
15,BRISK,ORB,8.52157,13.2191,-4.69752
16,BRISK,ORB,9.51552,10.5176,-1.0021
17,BRISK,ORB,9.61241,9.76526,-0.152843
18,BRISK,ORB,8.45094,10.6055,-2.15458
1,BRISK,FREAK,12.3214,14.4885,-2.16711
2,BRISK,FREAK,12.7144,22.3822,-9.66771
3,BRISK,FREAK,14.2179,14.5448,-0.326863
4,BRISK,FREAK,16.6894,13.5966,3.09282
5,BRISK,FREAK,15.7465,24.3548,-8.60823
6,BRISK,FREAK,12.6778,13.862,-1.18419
7,BRISK,FREAK,13.1197,14.616,-1.4963
8,BRISK,FREAK,12.0825,17.0768,-4.99427
9,BRISK,FREAK,13.0241,18.1204,-5.09629
10,BRISK,FREAK,11.1746,13.241,-2.06633
11,BRISK,FREAK,12.8086,12.0846,0.723955
12,BRISK,FREAK,8.95978,12.7117,-3.75189
13,BRISK,FREAK,9.96439,12.3611,-2.39671
14,BRISK,FREAK,9.59863,11.5847,-1.98608
15,BRISK,FREAK,8.52157,12.3974,-3.87587
16,BRISK,FREAK,9.51552,9.69395,-0.178429
17,BRISK,FREAK,9.61241,8.83398,0.778432
18,BRISK,FREAK,8.45094,10.5919,-2.14091
1,BRISK,SIFT,12.3214,15.8393,-3.51783
2,BRISK,SIFT,12.7144,14.89,-2.17556
3,BRISK,SIFT,14.2179,17.7622,-3.54428
